mmsi,name,flag,vessel_type_key,true_activity,sog_mean,sog_std,sog_max,pct_slow,pct_vslow,pct_fast,cog_std,zig_zag,mean_turning_rate,max_turning_rate,loiter_index,centroid_lat,centroid_lon,lat_range,lon_range,total_dist_nm,bbox_area,t_span_h,pct_fishing_status,pct_anchored_status,n_dark_gaps,max_dark_gap_h,pct_dark,length,draught,dist_to_port_nm,dist_to_fishing_nm,n_pings
500033514,MV_STR_CARGO_000,LR,bulk_carrier,transit,12.57469670710572,0.708857762477188,14.6,0.0,0.0,0.01733102253032929,41.89243370721918,0.0,3.566145833333334,16.19999999999999,3.8509545711373984e-05,5.66599863084922,95.48794407279028,3.3659800000000004,7.664969999999997,603.9906754898961,25.800135720599993,48.0,0.0,0.0,0,0.08333333333333333,0.0,204,17.3,388.42921043884166,9999.0,577
500033515,MV_STR_CARGO_001,CN,cargo,transit,16.935008665511265,1.0223607649555038,20.3,0.0,0.0,0.9965337954939342,22.63104827280578,0.0,3.3407986111111123,12.199999999999989,2.0448565576145628e-05,-0.5290614731369151,106.88910920277297,4.90604,11.709559999999996,813.7815163980015,57.44756974239998,48.0,0.0,0.0,0,0.08333333333333333,0.0,283,13.3,214.62289422165708,9999.0,577
500033516,MV_STR_CARGO_002,LR,cargo,transit,16.987694974003464,1.0568441907526382,20.9,0.0,0.0,0.9930675909878682,25.749256012290306,0.0,3.2526041666666665,13.900000000000006,2.3482816938315857e-05,2.667302686308492,104.6284982322357,7.03315,10.097010000000012,816.2141310168562,71.01378588150008,48.0,0.0,0.0,0,0.08333333333333333,0.0,202,8.2,97.51761145482537,9999.0,577
500033517,MV_STR_CARGO_003,PH,tanker,transit,12.926169844020796,0.7461453054914359,15.2,0.0,0.0,0.07452339688041594,43.87522041272118,0.0,3.3579861111111122,14.200000000000045,3.864659821089513e-05,9.654494575389947,105.9780759272097,7.172129999999999,4.598380000000006,620.6851011649546,32.98017914940004,48.0,0.0,0.0,0,0.08333333333333333,0.0,326,12.4,483.9210701799593,9999.0,577
500033518,MV_STR_CARGO_004,MY,bulk_carrier,transit,12.525476603119586,0.7407143186089183,15.0,0.0,0.0,0.019064124783362217,40.977898646133184,0.0,3.2906250000000004,12.599999999999994,2.7203896658016825e-05,2.7277944020797227,99.66125488734835,6.33589,5.6366999999999905,601.585605652264,35.71351116299994,48.0,0.0,0.0,0,0.08333333333333333,0.0,126,8.2,105.53769118991332,9999.0,577
500033519,MV_STR_CARGO_005,JP,tanker,transit,13.15736568457539,0.7531231286211081,15.4,0.0,0.0,0.11265164644714037,18.84327939681737,0.0,3.2177083333333334,13.0,1.791510677042623e-05,3.1778411611785096,109.13690991334488,3.0143199999999997,9.533000000000001,631.5449320857631,28.73551256,48.0,0.0,0.0,0,0.08333333333333333,0.0,293,20.9,340.048012577401,9999.0,577
500033520,MV_STR_CARGO_006,JP,bulk_carrier,transit,12.383663366336634,0.7573602184820396,14.9,0.0,0.0,0.01485148514851485,21.935327819064742,0.0,3.5662531017369723,16.0,1.904597200273316e-05,-0.6684476980198021,102.0986938861386,6.66062,6.715999999999994,611.7069385399161,44.732723919999955,48.0,0.0,0.0,1,14.5,0.0,202,15.7,154.84929630884525,9999.0,404
500033521,MV_STR_CARGO_007,MY,bulk_carrier,transit,12.57261698440208,0.6966213937981798,14.5,0.0,0.0,0.02079722703639515,31.243231618908112,0.0,3.292881944444445,13.5,2.9957630451909257e-05,6.060965320623917,101.83319705372617,8.0458,3.7782899999999984,604.137174930707,30.399365681999985,48.0,0.0,0.0,0,0.08333333333333333,0.0,147,12.0,185.60129542599051,9999.0,577
500033522,MV_STR_CARGO_008,KR,tanker,transit,12.811438474870018,0.7378413712957509,14.8,0.0,0.0,0.05199306759098787,28.33000715569394,0.0,3.477777777777779,14.099999999999994,2.4183916496870958e-05,6.517334263431542,101.82534190641248,7.71985,4.802199999999999,615.3234179915564,37.07226366999999,48.0,0.0,0.0,0,0.08333333333333333,0.0,256,19.4,212.70983185527035,9999.0,577
500033523,MV_STR_CARGO_009,PH,cargo,transit,17.01785095320624,1.04818580184307,20.0,0.0,0.0,0.9896013864818024,33.13300679943572,0.0,3.113368055555556,15.900000000000006,2.280764134353554e-05,-3.873807071057192,101.22485403812824,9.97734,6.886340000000004,817.3933482481111,68.70735553560004,48.0,0.0,0.0,0,0.08333333333333333,0.0,189,10.1,345.33571937131967,9999.0,577
