mmsi,vessel_type_key,vessel_type_code,timestamp,lat,lon,sog,cog,heading,nav_status,length,width,draught,name,flag,ais_on,true_activity,had_dark_period,region
700088340,purse_seiner,30,2024-06-01 00:20:14.164075,4.09849,103.12917,15.4,308.8,309.5,0,73,15,5.9,VESSEL_STR_000,PA,True,transit,False,strait_of_malacca
700088340,purse_seiner,30,2024-06-01 00:25:14.164075,4.1118,103.11162,15.3,312.9,312.9,0,73,15,5.9,VESSEL_STR_000,PA,True,transit,False,strait_of_malacca
700088340,purse_seiner,30,2024-06-01 00:30:14.164075,4.12677,103.09679,15.1,316.5,313.9,0,73,15,5.9,VESSEL_STR_000,PA,True,transit,False,strait_of_malacca
700088340,purse_seiner,30,2024-06-01 00:35:14.164075,4.14163,103.08155,14.3,319.8,314.0,0,73,15,5.9,VESSEL_STR_000,PA,True,transit,False,strait_of_malacca
700088340,purse_seiner,30,2024-06-01 00:40:14.164075,4.15686,103.06827,14.8,314.5,313.7,0,73,15,5.9,VESSEL_STR_000,PA,True,transit,False,strait_of_malacca
700088340,purse_seiner,30,2024-06-01 00:45:14.164075,4.17166,103.05385,14.8,311.7,312.9,0,73,15,5.9,VESSEL_STR_000,PA,True,transit,False,strait_of_malacca
700088340,purse_seiner,30,2024-06-01 00:50:14.164075,4.18498,103.038,14.8,304.5,306.1,0,73,15,5.9,VESSEL_STR_000,PA,True,transit,False,strait_of_malacca
700088340,purse_seiner,30,2024-06-01 00:55:14.164075,4.19679,103.02137,14.8,296.2,297.9,0,73,15,5.9,VESSEL_STR_000,PA,True,transit,False,strait_of_malacca
700088340,purse_seiner,30,2024-06-01 01:00:14.164075,4.20587,103.00287,15.0,295.0,291.9,0,73,15,5.9,VESSEL_STR_000,PA,True,transit,False,strait_of_malacca
700088340,purse_seiner,30,2024-06-01 01:05:14.164075,4.21417,102.98426,14.0,296.4,295.9,0,73,15,5.9,VESSEL_STR_000,PA,True,transit,False,strait_of_malacca
700088340,purse_seiner,30,2024-06-01 01:10:14.164075,4.22277,102.96633,14.5,293.3,292.1,0,73,15,5.9,VESSEL_STR_000,PA,True,transit,False,strait_of_malacca
700088340,purse_seiner,30,2024-06-01 01:15:14.164075,4.23017,102.94761,14.5,296.3,291.0,0,73,15,5.9,VESSEL_STR_000,PA,True,transit,False,strait_of_malacca
700088340,purse_seiner,30,2024-06-01 01:20:14.164075,4.2395,102.92991,14.6,296.1,299.9,0,73,15,5.9,VESSEL_STR_000,PA,True,transit,False,strait_of_malacca
700088340,purse_seiner,30,2024-06-01 01:25:14.164075,4.24805,102.91149,14.6,291.0,289.8,0,73,15,5.9,VESSEL_STR_000,PA,True,transit,False,strait_of_malacca
700088340,purse_seiner,30,2024-06-01 01:30:14.164075,4.25488,102.89315,14.7,288.7,288.7,0,73,15,5.9,VESSEL_STR_000,PA,True,transit,False,strait_of_malacca
700088340,purse_seiner,30,2024-06-01 01:35:14.164075,4.26225,102.87322,14.2,290.6,292.1,0,73,15,5.9,VESSEL_STR_000,PA,True,transit,False,strait_of_malacca
700088340,purse_seiner,30,2024-06-01 01:40:14.164075,4.26937,102.85508,14.7,295.3,294.9,0,73,15,5.9,VESSEL_STR_000,PA,True,transit,False,strait_of_malacca
700088340,purse_seiner,30,2024-06-01 01:45:14.164075,4.27774,102.8365,14.3,298.8,302.3,0,73,15,5.9,VESSEL_STR_000,PA,True,transit,False,strait_of_malacca
700088340,purse_seiner,30,2024-06-01 01:50:14.164075,4.28819,102.81944,14.4,300.0,299.0,0,73,15,5.9,VESSEL_STR_000,PA,True,transit,False,strait_of_malacca
700088340,purse_seiner,30,2024-06-01 01:55:14.164075,4.29811,102.80152,14.7,300.1,300.9,0,73,15,5.9,VESSEL_STR_000,PA,True,transit,False,strait_of_malacca
700088340,purse_seiner,30,2024-06-01 02:00:14.164075,4.30849,102.78483,13.8,297.2,296.9,0,73,15,5.9,VESSEL_STR_000,PA,True,transit,False,strait_of_malacca
700088340,purse_seiner,30,2024-06-01 02:05:14.164075,4.31745,102.76768,13.9,293.3,292.6,0,73,15,5.9,VESSEL_STR_000,PA,True,transit,False,strait_of_malacca
700088340,purse_seiner,30,2024-06-01 02:10:14.164075,4.32563,102.74957,14.2,295.5,295.6,0,73,15,5.9,VESSEL_STR_000,PA,True,transit,False,strait_of_malacca
700088340,purse_seiner,30,2024-06-01 02:15:14.164075,4.33412,102.73188,14.5,297.1,300.6,0,73,15,5.9,VESSEL_STR_000,PA,True,transit,False,strait_of_malacca
700088340,purse_seiner,30,2024-06-01 02:20:14.164075,4.34303,102.71407,14.6,291.2,296.4,0,73,15,5.9,VESSEL_STR_000,PA,True,transit,False,strait_of_malacca
700088340,purse_seiner,30,2024-06-01 02:25:14.164075,4.35076,102.69559,14.9,294.8,295.5,0,73,15,5.9,VESSEL_STR_000,PA,True,transit,False,strait_of_malacca
700088340,purse_seiner,30,2024-06-01 02:30:14.164075,4.35989,102.67685,15.4,297.6,298.5,0,73,15,5.9,VESSEL_STR_000,PA,True,transit,False,strait_of_malacca
700088340,purse_seiner,30,2024-06-01 02:35:14.164075,4.36959,102.65796,15.6,298.6,297.9,0,73,15,5.9,VESSEL_STR_000,PA,True,transit,False,strait_of_malacca
700088340,purse_seiner,30,2024-06-01 02:40:14.164075,4.38029,102.63875,15.7,295.5,298.3,0,73,15,5.9,VESSEL_STR_000,PA,True,transit,False,strait_of_malacca
700088340,purse_seiner,30,2024-06-01 02:45:14.164075,4.38919,102.61916,14.6,296.1,292.3,0,73,15,5.9,VESSEL_STR_000,PA,True,transit,False,strait_of_malacca
700088340,purse_seiner,30,2024-06-01 02:50:14.164075,4.39891,102.60061,14.3,301.2,306.6,0,73,15,5.9,VESSEL_STR_000,PA,True,transit,False,strait_of_malacca
